日本語,英語,キー
書見台,Lectern,block.minecraft.lectern
レバー,Lever,block.minecraft.lever
ライトブロック,Light,block.minecraft.light
空色の旗,Light Blue Banner,block.minecraft.light_blue_banner
空色のベッド,Light Blue Bed,block.minecraft.light_blue_bed
空色のろうそく,Light Blue Candle,block.minecraft.light_blue_candle
空色のろうそくが立てられたケーキ,Cake with Light Blue Candle,block.minecraft.light_blue_candle_cake
空色のカーペット,Light Blue Carpet,block.minecraft.light_blue_carpet
空色のコンクリート,Light Blue Concrete,block.minecraft.light_blue_concrete
空色のコンクリートパウダー,Light Blue Concrete Powder,block.minecraft.light_blue_concrete_powder
空色の彩釉テラコッタ,Light Blue Glazed Terracotta,block.minecraft.light_blue_glazed_terracotta
空色のシュルカーボックス,Light Blue Shulker Box,block.minecraft.light_blue_shulker_box
空色の色付きガラス,Light Blue Stained Glass,block.minecraft.light_blue_stained_glass
空色の色付きガラス板,Light Blue Stained Glass Pane,block.minecraft.light_blue_stained_glass_pane
空色のテラコッタ,Light Blue Terracotta,block.minecraft.light_blue_terracotta
空色の羊毛,Light Blue Wool,block.minecraft.light_blue_wool
薄灰色の旗,Light Gray Banner,block.minecraft.light_gray_banner
薄灰色のベッド,Light Gray Bed,block.minecraft.light_gray_bed
薄灰色のろうそく,Light Gray Candle,block.minecraft.light_gray_candle
薄灰色のろうそくが立てられたケーキ,Cake with Light Gray Candle,block.minecraft.light_gray_candle_cake
薄灰色のカーペット,Light Gray Carpet,block.minecraft.light_gray_carpet
薄灰色のコンクリート,Light Gray Concrete,block.minecraft.light_gray_concrete
薄灰色のコンクリートパウダー,Light Gray Concrete Powder,block.minecraft.light_gray_concrete_powder
薄灰色の彩釉テラコッタ,Light Gray Glazed Terracotta,block.minecraft.light_gray_glazed_terracotta
薄灰色のシュルカーボックス,Light Gray Shulker Box,block.minecraft.light_gray_shulker_box
薄灰色の色付きガラス,Light Gray Stained Glass,block.minecraft.light_gray_stained_glass
薄灰色の色付きガラス板,Light Gray Stained Glass Pane,block.minecraft.light_gray_stained_glass_pane
薄灰色のテラコッタ,Light Gray Terracotta,block.minecraft.light_gray_terracotta
薄灰色の羊毛,Light Gray Wool,block.minecraft.light_gray_wool
軽量用感圧板,Light Weighted Pressure Plate,block.minecraft.light_weighted_pressure_plate
避雷針,Lightning Rod,block.minecraft.lightning_rod
ライラック,Lilac,block.minecraft.lilac
スズラン,Lily of the Valley,block.minecraft.lily_of_the_valley
スイレンの葉,Lily Pad,block.minecraft.lily_pad
黄緑色の旗,Lime Banner,block.minecraft.lime_banner
黄緑色のベッド,Lime Bed,block.minecraft.lime_bed
黄緑色のろうそく,Lime Candle,block.minecraft.lime_candle
黄緑色のろうそくが立てられたケーキ,Cake with Lime Candle,block.minecraft.lime_candle_cake
黄緑色のカーペット,Lime Carpet,block.minecraft.lime_carpet
黄緑色のコンクリート,Lime Concrete,block.minecraft.lime_concrete
黄緑色のコンクリートパウダー,Lime Concrete Powder,block.minecraft.lime_concrete_powder
黄緑色の彩釉テラコッタ,Lime Glazed Terracotta,block.minecraft.lime_glazed_terracotta
黄緑色のシュルカーボックス,Lime Shulker Box,block.minecraft.lime_shulker_box
黄緑色の色付きガラス,Lime Stained Glass,block.minecraft.lime_stained_glass
黄緑色の色付きガラス板,Lime Stained Glass Pane,block.minecraft.lime_stained_glass_pane
黄緑色のテラコッタ,Lime Terracotta,block.minecraft.lime_terracotta
黄緑色の羊毛,Lime Wool,block.minecraft.lime_wool
ロードストーン,Lodestone,block.minecraft.lodestone
機織り機,Loom,block.minecraft.loom
赤紫色の旗,Magenta Banner,block.minecraft.magenta_banner
赤紫色のベッド,Magenta Bed,block.minecraft.magenta_bed
赤紫色のろうそく,Magenta Candle,block.minecraft.magenta_candle
赤紫色のろうそくが立てられたケーキ,Cake with Magenta Candle,block.minecraft.magenta_candle_cake
赤紫色のカーペット,Magenta Carpet,block.minecraft.magenta_carpet
赤紫色のコンクリート,Magenta Concrete,block.minecraft.magenta_concrete
赤紫色のコンクリートパウダー,Magenta Concrete Powder,block.minecraft.magenta_concrete_powder
赤紫色の彩釉テラコッタ,Magenta Glazed Terracotta,block.minecraft.magenta_glazed_terracotta
赤紫色のシュルカーボックス,Magenta Shulker Box,block.minecraft.magenta_shulker_box
赤紫色の色付きガラス,Magenta Stained Glass,block.minecraft.magenta_stained_glass
赤紫色の色付きガラス板,Magenta Stained Glass Pane,block.minecraft.magenta_stained_glass_pane
赤紫色のテラコッタ,Magenta Terracotta,block.minecraft.magenta_terracotta
赤紫色の羊毛,Magenta Wool,block.minecraft.magenta_wool
マグマブロック,Magma Block,block.minecraft.magma_block
マングローブのボタン,Mangrove Button,block.minecraft.mangrove_button
マングローブのドア,Mangrove Door,block.minecraft.mangrove_door
マングローブのフェンス,Mangrove Fence,block.minecraft.mangrove_fence
マングローブのフェンスゲート,Mangrove Fence Gate,block.minecraft.mangrove_fence_gate
マングローブの吊り看板,Mangrove Hanging Sign,block.minecraft.mangrove_hanging_sign
マングローブの葉,Mangrove Leaves,block.minecraft.mangrove_leaves
マングローブの原木,Mangrove Log,block.minecraft.mangrove_log
マングローブの板材,Mangrove Planks,block.minecraft.mangrove_planks
マングローブの感圧板,Mangrove Pressure Plate,block.minecraft.mangrove_pressure_plate
マングローブの芽,Mangrove Propagule,block.minecraft.mangrove_propagule
マングローブの根,Mangrove Roots,block.minecraft.mangrove_roots
マングローブの看板,Mangrove Sign,block.minecraft.mangrove_sign
マングローブのハーフブロック,Mangrove Slab,block.minecraft.mangrove_slab
マングローブの階段,Mangrove Stairs,block.minecraft.mangrove_stairs
マングローブのトラップドア,Mangrove Trapdoor,block.minecraft.mangrove_trapdoor
壁に付けられたマングローブの吊り看板,Mangrove Wall Hanging Sign,block.minecraft.mangrove_wall_hanging_sign
壁に付けられたマングローブの看板,Mangrove Wall Sign,block.minecraft.mangrove_wall_sign
マングローブの木,Mangrove Wood,block.minecraft.mangrove_wood
中くらいのアメジストの芽,Medium Amethyst Bud,block.minecraft.medium_amethyst_bud
スイカ,Melon,block.minecraft.melon
スイカの茎,Melon Stem,block.minecraft.melon_stem
苔ブロック,Moss Block,block.minecraft.moss_block
苔のカーペット,Moss Carpet,block.minecraft.moss_carpet
苔むした丸石,Mossy Cobblestone,block.minecraft.mossy_cobblestone
苔むした丸石のハーフブロック,Mossy Cobblestone Slab,block.minecraft.mossy_cobblestone_slab
苔むした丸石の階段,Mossy Cobblestone Stairs,block.minecraft.mossy_cobblestone_stairs
苔むした丸石の塀,Mossy Cobblestone Wall,block.minecraft.mossy_cobblestone_wall
苔むした石レンガのハーフブロック,Mossy Stone Brick Slab,block.minecraft.mossy_stone_brick_slab
苔むした石レンガの階段,Mossy Stone Brick Stairs,block.minecraft.mossy_stone_brick_stairs
苔むした石レンガの塀,Mossy Stone Brick Wall,block.minecraft.mossy_stone_brick_wall
苔むした石レンガ,Mossy Stone Bricks,block.minecraft.mossy_stone_bricks
作動中のピストン,Moving Piston,block.minecraft.moving_piston
泥,Mud,block.minecraft.mud
泥レンガのハーフブロック,Mud Brick Slab,block.minecraft.mud_brick_slab
泥レンガの階段,Mud Brick Stairs,block.minecraft.mud_brick_stairs
泥レンガの塀,Mud Brick Wall,block.minecraft.mud_brick_wall
泥レンガ,Mud Bricks,block.minecraft.mud_bricks
泥だらけのマングローブの根,Muddy Mangrove Roots,block.minecraft.muddy_mangrove_roots
キノコの柄,Mushroom Stem,block.minecraft.mushroom_stem
菌糸,Mycelium,block.minecraft.mycelium
ネザーレンガのフェンス,Nether Brick Fence,block.minecraft.nether_brick_fence
ネザーレンガのハーフブロック,Nether Brick Slab,block.minecraft.nether_brick_slab
ネザーレンガの階段,Nether Brick Stairs,block.minecraft.nether_brick_stairs
ネザーレンガの塀,Nether Brick Wall,block.minecraft.nether_brick_wall
ネザーレンガ,Nether Bricks,block.minecraft.nether_bricks
ネザー金鉱石,Nether Gold Ore,block.minecraft.nether_gold_ore
ネザーポータル,Nether Portal,block.minecraft.nether_portal
ネザークォーツ鉱石,Nether Quartz Ore,block.minecraft.nether_quartz_ore
ネザースプラウト,Nether Sprouts,block.minecraft.nether_sprouts
ネザーウォート,Nether Wart,block.minecraft.nether_wart
ネザーウォートブロック,Nether Wart Block,block.minecraft.nether_wart_block
ネザライトブロック,Block of Netherite,block.minecraft.netherite_block
ネザーラック,Netherrack,block.minecraft.netherrack
音符ブロック,Note Block,block.minecraft.note_block
オークのボタン,Oak Button,block.minecraft.oak_button
オークのドア,Oak Door,block.minecraft.oak_door
オークのフェンス,Oak Fence,block.minecraft.oak_fence
オークのフェンスゲート,Oak Fence Gate,block.minecraft.oak_fence_gate
オークの吊り看板,Oak Hanging Sign,block.minecraft.oak_hanging_sign
オークの葉,Oak Leaves,block.minecraft.oak_leaves
オークの原木,Oak Log,block.minecraft.oak_log
オークの板材,Oak Planks,block.minecraft.oak_planks
オークの感圧板,Oak Pressure Plate,block.minecraft.oak_pressure_plate
オークの苗木,Oak Sapling,block.minecraft.oak_sapling
オークの看板,Oak Sign,block.minecraft.oak_sign
オークのハーフブロック,Oak Slab,block.minecraft.oak_slab
オークの階段,Oak Stairs,block.minecraft.oak_stairs
オークのトラップドア,Oak Trapdoor,block.minecraft.oak_trapdoor
壁に付けられたオークの吊り看板,Oak Wall Hanging Sign,block.minecraft.oak_wall_hanging_sign
壁に付けられたオークの看板,Oak Wall Sign,block.minecraft.oak_wall_sign
オークの木,Oak Wood,block.minecraft.oak_wood
オブザーバー,Observer,block.minecraft.observer
黒曜石,Obsidian,block.minecraft.obsidian
黄土色のフロッグライト,Ochre Froglight,block.minecraft.ochre_froglight
不吉な旗,Ominous Banner,block.minecraft.ominous_banner
橙色の旗,Orange Banner,block.minecraft.orange_banner
橙色のベッド,Orange Bed,block.minecraft.orange_bed
橙色のろうそく,Orange Candle,block.minecraft.orange_candle
橙色のろうそくが立てられたケーキ,Cake with Orange Candle,block.minecraft.orange_candle_cake
橙色のカーペット,Orange Carpet,block.minecraft.orange_carpet
橙色のコンクリート,Orange Concrete,block.minecraft.orange_concrete
橙色のコンクリートパウダー,Orange Concrete Powder,block.minecraft.orange_concrete_powder
橙色の彩釉テラコッタ,Orange Glazed Terracotta,block.minecraft.orange_glazed_terracotta
橙色のシュルカーボックス,Orange Shulker Box,block.minecraft.orange_shulker_box
橙色の色付きガラス,Orange Stained Glass,block.minecraft.orange_stained_glass
橙色の色付きガラス板,Orange Stained Glass Pane,block.minecraft.orange_stained_glass_pane
橙色のテラコッタ,Orange Terracotta,block.minecraft.orange_terracotta
橙色のチューリップ,Orange Tulip,block.minecraft.orange_tulip
橙色の羊毛,Orange Wool,block.minecraft.orange_wool
フランスギク,Oxeye Daisy,block.minecraft.oxeye_daisy
酸化した模様入りの銅,Oxidized Chiseled Copper,block.minecraft.oxidized_chiseled_copper
酸化した銅,Oxidized Copper,block.minecraft.oxidized_copper
酸化した銅の電球,Oxidized Copper Bulb,block.minecraft.oxidized_copper_bulb
酸化した銅のドア,Oxidized Copper Door,block.minecraft.oxidized_copper_door
酸化した銅の格子,Oxidized Copper Grate,block.minecraft.oxidized_copper_grate
酸化した銅のトラップドア,Oxidized Copper Trapdoor,block.minecraft.oxidized_copper_trapdoor
酸化した切り込み入りの銅,Oxidized Cut Copper,block.minecraft.oxidized_cut_copper
酸化した切り込み入りの銅のハーフブロック,Oxidized Cut Copper Slab,block.minecraft.oxidized_cut_copper_slab
酸化した切り込み入りの銅の階段,Oxidized Cut Copper Stairs,block.minecraft.oxidized_cut_copper_stairs
氷塊,Packed Ice,block.minecraft.packed_ice
固めた泥,Packed Mud,block.minecraft.packed_mud
真珠色のフロッグライト,Pearlescent Froglight,block.minecraft.pearlescent_froglight
ボタン,Peony,block.minecraft.peony
石化したオークのハーフブロック,Petrified Oak Slab,block.minecraft.petrified_oak_slab
ピグリンの頭,Piglin Head,block.minecraft.piglin_head
壁に付けられたピグリンの頭,Piglin Wall Head,block.minecraft.piglin_wall_head
桃色の旗,Pink Banner,block.minecraft.pink_banner
桃色のベッド,Pink Bed,block.minecraft.pink_bed
桃色のろうそく,Pink Candle,block.minecraft.pink_candle
桃色のろうそくが立てられたケーキ,Cake with Pink Candle,block.minecraft.pink_candle_cake
桃色のカーペット,Pink Carpet,block.minecraft.pink_carpet
桃色のコンクリート,Pink Concrete,block.minecraft.pink_concrete
桃色のコンクリートパウダー,Pink Concrete Powder,block.minecraft.pink_concrete_powder
桃色の彩釉テラコッタ,Pink Glazed Terracotta,block.minecraft.pink_glazed_terracotta
桜色の花びら,Pink Petals,block.minecraft.pink_petals
桃色のシュルカーボックス,Pink Shulker Box,block.minecraft.pink_shulker_box
桃色の色付きガラス,Pink Stained Glass,block.minecraft.pink_stained_glass
桃色の色付きガラス板,Pink Stained Glass Pane,block.minecraft.pink_stained_glass_pane
桃色のテラコッタ,Pink Terracotta,block.minecraft.pink_terracotta
桃色のチューリップ,Pink Tulip,block.minecraft.pink_tulip
桃色の羊毛,Pink Wool,block.minecraft.pink_wool
ピストン,Piston,block.minecraft.piston
ピストンヘッド,Piston Head,block.minecraft.piston_head
ウツボカズラ,Pitcher Crop,block.minecraft.pitcher_crop
ウツボカズラ,Pitcher Plant,block.minecraft.pitcher_plant
プレイヤーの頭,Player Head,block.minecraft.player_head
%sの頭,%s's Head,block.minecraft.player_head.named
壁に付けられたプレイヤーの頭,Player Wall Head,block.minecraft.player_wall_head
ポドゾル,Podzol,block.minecraft.podzol
鍾乳石,Pointed Dripstone,block.minecraft.pointed_dripstone
磨かれた安山岩,Polished Andesite,block.minecraft.polished_andesite
磨かれた安山岩のハーフブロック,Polished Andesite Slab,block.minecraft.polished_andesite_slab
磨かれた安山岩の階段,Polished Andesite Stairs,block.minecraft.polished_andesite_stairs
磨かれた玄武岩,Polished Basalt,block.minecraft.polished_basalt
磨かれたブラックストーン,Polished Blackstone,block.minecraft.polished_blackstone
磨かれたブラックストーンレンガのハーフブロック,Polished Blackstone Brick Slab,block.minecraft.polished_blackstone_brick_slab
磨かれたブラックストーンレンガの階段,Polished Blackstone Brick Stairs,block.minecraft.polished_blackstone_brick_stairs
